,county,district,id
0,Kepez,Hüsnü Karakaş,92837-767
1,Muratpaşa,Çağlayan,0-15868340
2,Kepez,Sütçüler,92837-795
3,Muratpaşa,Kızılsaray,103168-51
4,Muratpaşa,Yenigün,105872-30
5,Muratpaşa,Muratpaşa,103168-112
6,Kepez,Mehmet Akif Ersoy,72631-563
7,Muratpaşa,Şirinyalı,5226-2962
8,Kepez,Fabrikalar,73389-1625
9,Muratpaşa,Çağlayan,24126-3423
10,Konyaaltı,Altınkum,42638-1328
11,Muratpaşa,Bahçelievler,75911-658
12,Muratpaşa,Güzeloba,43809-514
13,Konyaaltı,Hurma,97965-461
14,Muratpaşa,Kızıltoprak,5779-6492
15,Muratpaşa,Çağlayan,18143-4701
16,Döşemealtı,Altınkale,24687-2934
17,Muratpaşa,Yıldız,73389-1624
18,Konyaaltı,Hurma,87339-796
19,Muratpaşa,Şirinyalı,94744-632
20,Kepez,Kültür,88509-550
21,Muratpaşa,Kızılarık,8646-3059
22,Muratpaşa,Güvenlik,68106-124
23,Kepez,Hüsnü Karakaş,92837-807
24,Kepez,Ahatlı,50734-2766
25,Muratpaşa,Altındağ,3742-2388
26,Kepez,Atatürk,70595-1738
27,Muratpaşa,Muratpaşa,10655-1825
28,Konyaaltı,Uncalı,107448-115
29,Kepez,Altınova Orta,94744-630
30,Muratpaşa,Güzeloba,53141-605
31,Kepez,Ahatlı,99691-737
32,Muratpaşa,Güzeloba,53141-607
33,Konyaaltı,Hurma,109333-35
34,Konyaaltı,Hurma,0-32750624
35,Muratpaşa,Cumhuriyet,102121-238
36,Muratpaşa,Tahılpazarı,10655-1820
37,Konyaaltı,Liman,0-32789917
38,Kepez,Kültür,99691-755
39,Muratpaşa,Yüksekalan,103131-66
40,Muratpaşa,Dutlubahçe,8646-3057
41,Konyaaltı,Hurma,90961-190
42,Konyaaltı,Liman,109333-37
43,Muratpaşa,Güzeloba,53141-604
44,Muratpaşa,Meydankavağı,53984-5296
45,Kepez,Kültür,78725-418
46,Muratpaşa,Yenigün,90534-537
47,Kepez,Ahatlı,99691-756
48,Kepez,Gülveren,96681-524
49,Kepez,Şafak,99691-751
50,Kepez,Fabrikalar,73389-1622
51,Muratpaşa,Güvenlik,8848-1890
52,Muratpaşa,Altındağ,3742-2390
53,Manavgat,Side,63613-423
54,Kepez,Erenköy,104415-34
55,Kepez,Ahatlı,96681-525
56,Kepez,Hüsnü Karakaş,92837-811
57,Kepez,Hüsnü Karakaş,92837-806
58,Muratpaşa,Çaybaşı,3742-2387
59,Kepez,Şelale,691972-1773
60,Kepez,Fabrikalar,82001-145
61,Muratpaşa,Meydankavağı,53984-5294
62,Muratpaşa,Şirinyalı,81838-908
63,Kepez,Çankaya,80174-2160
64,Kepez,Kültür,99691-754
65,Kepez,Ahatlı,96681-526
66,Konyaaltı,Liman,1495-245
67,Kepez,Kültür,96681-520
68,Konyaaltı,Liman,82499-37
69,Muratpaşa,Güzeloba,36064-4325
70,Muratpaşa,Güzeloba,17969-8864
71,Kepez,Özgürlük,8200-3781
72,Konyaaltı,Hurma,65153-399
73,Konyaaltı,Liman,24687-2925
74,Manavgat,Mimar Sinan,95443-308
75,Muratpaşa,Yıldız,73389-1619
76,Manavgat,Side,95443-309
77,Kepez,Kültür,99691-740
78,Muratpaşa,Cumhuriyet,91685-61
79,Kepez,Yeni Doğan,96681-521
80,Alanya,Mahmutlar,82363-882
81,Muratpaşa,Altındağ,3884-881
82,Muratpaşa,Yıldız,73389-1620
83,Muratpaşa,Yıldız,73389-1623
84,Kepez,Teomanpaşa,76239-1076
85,Döşemealtı,Altınkale,24687-2926
86,Kepez,Altınova Orta,91208-290
87,Muratpaşa,Zerdalilik,77527-3120
88,Muratpaşa,Yıldız,77527-3122
89,Alanya,Kestel,93676-281
90,Muratpaşa,Balbey,106629-59
91,Konyaaltı,Molla Yusuf,79472-294
92,Muratpaşa,Güvenlik,691721-37
93,Muratpaşa,Altındağ,77338-507
94,Kepez,Duraliler,10596-2942
95,Kepez,Kazım Karabekir,40474-3519
96,Konyaaltı,Altınkum,38955-2256
97,Muratpaşa,Şirinyalı,4781-989
98,Elmalı,Yeni,108893-55
99,Korkuteli,Yeni,60447-1203
100,Kepez,Fabrikalar,99691-646
101,Kepez,Şafak,99691-662
102,Alanya,Cikcilli,88734-25
103,Konyaaltı,Akkuyu,87339-788
104,Kepez,Hüsnü Karakaş,98151-58
105,Kepez,Varsak Karşıyaka,102121-229
106,Muratpaşa,Gençlik,105875-29
107,Konyaaltı,Hurma,2500-4100
108,Muratpaşa,Güzeloba,3663-549
109,Alanya,Mahmutlar,82363-868
110,Muratpaşa,Kızıltoprak,77527-3052
111,Konyaaltı,Pınarbaşı,69254-1604
112,Konyaaltı,Uncalı,17884-3523
113,Konyaaltı,Hurma,51188-1171
114,Muratpaşa,Meydankavağı,53984-5255
115,Konyaaltı,Hurma,87339-793
116,Kepez,Ahatlı,96681-522
117,Kepez,Yükseliş,70595-1735
118,Kepez,Yeni Doğan,96681-503
119,Konyaaltı,Toros,107448-73
120,Konyaaltı,Altınkum,107448-84
121,Kepez,Mehmet Akif Ersoy,691972-1772
122,Kepez,Şafak,99691-724
123,Muratpaşa,Yüksekalan,106629-52
124,Alanya,Avsallar,55900-958
125,Muratpaşa,Soğuksu,22352-221
126,Alanya,Demirtaş,88841-876
127,Konyaaltı,Uncalı,73055-583
128,Kepez,Yeni Doğan,99691-728
129,Muratpaşa,Deniz,10978-6883
130,Konyaaltı,Uncalı,79472-351
131,Kepez,Kanal,90618-903
132,Konyaaltı,Arapsuyu,73055-649
133,Alanya,Sugözü,88734-39
134,Kepez,Hüsnü Karakaş,92837-810
135,Konyaaltı,Liman,16141-7570
136,Konyaaltı,Uncalı,17884-3544
137,Konyaaltı,Toros,73055-643
138,Konyaaltı,Arapsuyu,45502-1345
139,Muratpaşa,Güzeloba,53984-2974
140,Muratpaşa,Kızıltoprak,77527-3053
141,Muratpaşa,Güvenlik,691721-17
142,Aksu,Altıntaş,5779-6490
143,Kepez,Gündoğdu,60116-579
144,Kepez,Şafak,96681-423
145,Muratpaşa,Güzeloba,17969-8841
146,Muratpaşa,Güzeloba,24126-3409
147,Kepez,Kültür,96681-465
148,Kepez,Gündoğdu,60116-647
149,Muratpaşa,Cumhuriyet,102121-237
150,Kaş,Andifli,81081-283
151,Muratpaşa,Tahılpazarı,10655-1607
152,Kepez,Yeni Emek,76239-1073
153,Muratpaşa,Cumhuriyet,102121-239
154,Muratpaşa,Güzeloba,71742-1712
155,Muratpaşa,Şirinyalı,53984-5276
156,Kepez,Ahatlı,99691-732
157,Alanya,Kestel,93676-674
158,Muratpaşa,Yıldız,73389-1611
159,Konyaaltı,Liman,109333-32
160,Kepez,Şafak,96681-422
161,Kemer,Arslanbucak,95671-168
162,Muratpaşa,Zerdalilik,77527-3105
163,Konyaaltı,Sarısu,0-32694316
164,Kepez,Ahatlı,96681-484
165,Kepez,Ahatlı,96681-513
166,Muratpaşa,Güzeloba,36064-4231
167,Kepez,Ahatlı,96681-474
168,Kepez,Zafer,50734-2676
169,Konyaaltı,Öğretmenevleri,87339-787
170,Kepez,Gülveren,99691-747
171,Konyaaltı,Liman,109333-38
172,Kepez,Yeşilyurt,99691-742
173,Kepez,Erenköy,105872-27
174,Muratpaşa,Dutlubahçe,8646-3053
175,Manavgat,Side,63613-421
176,Alanya,Mahmutlar,0-27216274
177,Kepez,Fabrikalar,78725-401
178,Konyaaltı,Liman,109333-22
179,Konyaaltı,Hurma,109333-2
180,Muratpaşa,Güzeloba,53141-608
181,Konyaaltı,Öğretmenevleri,16141-7574
182,Kepez,Yeni Doğan,96681-504
183,Alanya,Kestel,93676-811
184,Konyaaltı,Altınkum,38955-2260
185,Kepez,Özgürlük,8200-3782
186,Alanya,Cumhuriyet,98706-218
187,Kepez,Erenköy,90618-836
188,Kepez,Fabrikalar,60116-661
189,Konyaaltı,Hurma,16141-7566
190,Kepez,Varsak Karşıyaka,92133-512
191,Alanya,Cikcilli,94612-425
192,Konyaaltı,Pınarbaşı,97965-434
193,Muratpaşa,Fener,81838-882
194,Kepez,Kültür,96681-505
195,Muratpaşa,Güvenlik,53984-4596
196,Muratpaşa,Şirinyalı,80174-2113
197,Konyaaltı,Liman,1820-1345
198,Konyaaltı,Altınkum,42638-1313
199,Muratpaşa,Güzeloba,43809-513
200,Muratpaşa,Kızılarık,0-32666419
201,Muratpaşa,Çaybaşı,106629-70
202,Konyaaltı,Hurma,109333-40
203,Muratpaşa,Varlık,107448-56
204,Konyaaltı,Öğretmenevleri,107448-104
205,Muratpaşa,Soğuksu,88469-395
206,Alanya,Avsallar,55900-957
207,Kepez,Ahatlı,99691-748
208,Kepez,Fabrikalar,96681-460
209,Konyaaltı,Altınkum,99699-62
210,Muratpaşa,Yenigün,105872-9
211,Alanya,Saray,85583-454
212,Muratpaşa,Fener,53984-5165
213,Muratpaşa,Sedir,6273-855
214,Kepez,Kültür,96681-480
215,Kepez,Altınova Orta,100150-58
216,Muratpaşa,Yıldız,73389-1617
217,Konyaaltı,Liman,99578-133
218,Muratpaşa,Etiler,102121-186
219,Konyaaltı,Gürsu,107448-103
220,Muratpaşa,Şirinyalı,36064-4297
221,Muratpaşa,Güzeloba,52431-1219
222,Muratpaşa,Meydankavağı,4781-988
223,Aksu,Altıntaş,10596-2932
224,Konyaaltı,Hurma,87339-780
225,Muratpaşa,Muratpaşa,91557-438
226,Muratpaşa,Gençlik,77527-3124
227,Kepez,Yeni Doğan,96681-466
228,Alanya,Mahmutlar,82363-875
229,Konyaaltı,Liman,18453-84
230,Muratpaşa,Üçgen,77338-511
231,Kepez,Ahatlı,99691-708
232,Kepez,Güneş,106629-75
233,Muratpaşa,Kızılarık,77527-3115
234,Konyaaltı,Gürsu,16141-7551
235,Muratpaşa,Şirinyalı,77527-3123
236,Kepez,Ahatlı,99691-744
237,Muratpaşa,Kızılarık,68114-3636
238,Muratpaşa,Kızılarık,105872-19
239,Kepez,Ünsal,78725-409
240,Döşemealtı,Altınkale,94984-363
241,Alanya,Cikcilli,85583-440
242,Muratpaşa,Kışla,10978-6868
243,Aksu,Kemerağzı,10978-6841
244,Döşemealtı,Yeniköy,102182-32
245,Muratpaşa,Kızılarık,77527-3117
246,Konyaaltı,Hurma,94283-107
247,Muratpaşa,Güvenlik,107448-37
248,Konyaaltı,Akkuyu,101905-288
249,Konyaaltı,Uluç,81581-250
250,Muratpaşa,Güzeloba,24126-3389
251,Muratpaşa,Fener,59368-2361
252,Muratpaşa,Yeşilbahçe,108952-7
253,Kaş,Kalkan,78027-64
254,Kepez,Yeşilyurt,99691-749
255,Alanya,Mahmutlar,82363-762
256,Kepez,Altınova Orta,100150-53
257,Konyaaltı,Gürsu,0-32786943
258,Konyaaltı,Liman,92166-73
259,Kepez,Yeni Doğan,99691-730
260,Muratpaşa,Fener,53984-4793
261,Muratpaşa,Cumhuriyet,88220-202
262,Kepez,Ahatlı,99691-729
263,Muratpaşa,Üçgen,77527-3037
264,Muratpaşa,Altındağ,22352-210
265,Kepez,Yeni Doğan,96681-493
266,Muratpaşa,Fener,94744-534
267,Kepez,Sütçüler,72631-551
268,Konyaaltı,Uncalı,21426-1265
269,Konyaaltı,Kuşkavağı,45502-1204
270,Kepez,Erenköy,90618-888
271,Kepez,Ahatlı,96681-482
272,Konyaaltı,Gürsu,16141-7562
273,Konyaaltı,Toros,88126-104
274,Kepez,Yeşilyurt,99691-743
275,Muratpaşa,Çağlayan,7227-8375
276,Konyaaltı,Hurma,16141-7568
277,Alanya,Avsallar,36751-1536
278,Konyaaltı,Liman,84488-399
279,Konyaaltı,Pınarbaşı,81581-976
280,Kepez,Mehmet Akif Ersoy,72631-555
281,Muratpaşa,Yeşilbahçe,15974-399
282,Muratpaşa,Çağlayan,102121-197
283,Finike,Yeşilyurt,91208-263
284,Muratpaşa,Fener,36064-4248
285,Manavgat,Side,0-32765805
286,Muratpaşa,Dutlubahçe,88416-329
287,Alanya,Kestel,93676-809
288,Kepez,Varsak Karşıyaka,691972-1754
289,Muratpaşa,Gençlik,24713-1544
290,Muratpaşa,Kızılarık,68114-3555
291,Konyaaltı,Gürsu,16141-7559
292,Kemer,Göynük,55020-888
293,Kaş,Kalkan,78027-36
294,Muratpaşa,Fener,4759-565
295,Kepez,Şafak,99691-723
296,Alanya,Kestel,93676-803
297,Konyaaltı,Hurma,87339-792
298,Muratpaşa,Deniz,77338-450
299,Konyaaltı,Gürsu,76239-1081
300,Döşemealtı,Altınkale,24687-2909
301,Kepez,Çankaya,102696-55
302,Konyaaltı,Liman,38955-2261
303,Alanya,Kestel,93676-621
304,Konyaaltı,Gürsu,107448-81
305,Alanya,Mahmutlar,86871-264
306,Kepez,Gülveren,50734-2484
307,Konyaaltı,Hurma,109333-1
308,Konyaaltı,Hurma,109333-41
309,Muratpaşa,Fener,53984-5171
310,Kepez,Yeşilyurt,99691-739
311,Muratpaşa,Güzeloba,18143-4698
312,Muratpaşa,Demircikara,53984-5261
313,Alanya,Kestel,93676-810
314,Kepez,Ahatlı,99691-717
315,Konyaaltı,Gürsu,45502-1224
316,Muratpaşa,Gençlik,7227-8388
317,Kepez,Çankaya,40474-3524
318,Muratpaşa,Güzeloba,43794-420
319,Döşemealtı,Yeniköy,98044-120
320,Muratpaşa,Bahçelievler,43436-604
321,Konyaaltı,Pınarbaşı,2500-4074
322,Kepez,Kuzeyyaka,50668-6871
323,Konyaaltı,Liman,56557-209
324,Alanya,Okurcalar,74500-501
325,Serik,Belek,40047-11
326,Kepez,Şafak,88509-536
327,Kepez,Şafak,96681-424
328,Kaş,Andifli,5401-1231
329,Kepez,Sütçüler,3884-873
330,Kepez,Kuzeyyaka,97708-92
331,Konyaaltı,Hurma,45502-1336
332,Muratpaşa,Yüksekalan,5498-931
333,Muratpaşa,Meydankavağı,81838-903
334,Muratpaşa,Şirinyalı,14448-684
335,Finike,Karşıyaka,92100-163
336,Konyaaltı,Uluç,38955-2259
337,Muratpaşa,Şirinyalı,80174-2142
338,Kepez,Gülveren,52683-10
339,Konyaaltı,Altınkum,45502-1394
340,Konyaaltı,Sarısu,48276-1616
341,Muratpaşa,Çaybaşı,106629-56
342,Muratpaşa,Güzeloba,31226-1453
343,Muratpaşa,Güzeloba,53141-606
344,Muratpaşa,Meydankavağı,53984-5269
345,Kepez,Yeni Doğan,88509-524
346,Alanya,Mahmutlar,82363-840
347,Kepez,Yeşiltepe,60116-668
348,Kepez,Ahatlı,96681-506
349,Muratpaşa,Gençlik,24713-1976
350,Konyaaltı,Hurma,1820-1342
351,Konyaaltı,Uluç,79472-104
352,Muratpaşa,Meydankavağı,10059-1130
353,Konyaaltı,Liman,76688-882
354,Konyaaltı,Uncalı,77338-492
355,Muratpaşa,Fener,4759-566
356,Muratpaşa,Şirinyalı,53984-5251
357,Kepez,Kültür,0-32608966
358,Muratpaşa,Çağlayan,4179-1360
359,Muratpaşa,Fener,17969-7895
360,Konyaaltı,Gürsu,107448-77
361,Alanya,Kestel,93676-631
362,Kepez,Altınova Orta,100150-57
363,Konyaaltı,Hurma,109450-8
364,Kepez,Barış,70595-1732
365,Kepez,Ünsal,102372-65
366,Konyaaltı,Hurma,45502-1272
367,Konyaaltı,Öğretmenevleri,107448-72
368,Konyaaltı,Toros,51188-1165
369,Alanya,Oba,44802-3016
370,Konyaaltı,Uncalı,27323-2798
371,Muratpaşa,Çağlayan,43794-434
372,Alanya,Tosmur,100279-55
373,Döşemealtı,Altınkale,94984-358
374,Konyaaltı,Pınarbaşı,73055-605
375,Kepez,Yeşilyurt,96681-497
376,Konyaaltı,Hurma,50997-306
377,Kepez,Emek,10978-6795
378,Muratpaşa,Gençlik,63922-20
379,Konyaaltı,Hurma,0-32781640
380,Muratpaşa,Tarım,101221-195
381,Kemer,Çamyuva,0-32769373
382,Konyaaltı,Liman,90534-526
383,Konyaaltı,Liman,92166-77
384,Alanya,Şekerhane,6545-1238
385,Muratpaşa,Meltem,77380-545
386,Kepez,Kütükçü,50668-6858
387,Muratpaşa,Güzeloba,3648-2768
388,Muratpaşa,Güzeloba,36064-4216
389,Kaş,Andifli,5401-1232
390,Kepez,Teomanpaşa,691972-1673
391,Muratpaşa,Yıldız,73389-1616
392,Kepez,Ahatlı,50734-2756
393,Muratpaşa,Etiler,101221-167
394,Muratpaşa,Kışla,10978-6867
395,Konyaaltı,Hurma,16141-7569
396,Muratpaşa,Çağlayan,4179-1364
397,Alanya,Cikcilli,98706-208
398,Muratpaşa,Güzeloba,3648-2762
399,Kepez,Yeşilyurt,96681-469
400,Muratpaşa,Fener,109276-1
401,Kepez,Kültür,50734-2066
402,Muratpaşa,Kızıltoprak,53984-5239
403,Alanya,Oba,85583-448
404,Muratpaşa,Varlık,43794-429
405,Kepez,Ahatlı,88509-542
406,Muratpaşa,Çağlayan,17969-7922
407,Muratpaşa,Yeşilbahçe,80174-2079
408,Kepez,Göksu,14448-627
409,Muratpaşa,Güzeloluk,4179-1369
410,Serik,Belek,40047-10
411,Kaş,Kalkan,78027-37
412,Kepez,Yeşilyurt,88509-537
413,Kepez,Ünsal,102372-68
414,Konyaaltı,Uncalı,107448-102
415,Kepez,Teomanpaşa,0-32666039
416,Konyaaltı,Uluç,73055-619
417,Muratpaşa,Meydankavağı,96512-296
418,Konyaaltı,Uncalı,81581-838
419,Manavgat,Eski Hisar,0-32686021
420,Kepez,Ahatlı,96681-492
421,Kemer,Arslanbucak,95671-124
422,Konyaaltı,Molla Yusuf,45502-1113
423,Kepez,Çankaya,102696-37
424,Kepez,Göksu,77527-2881
425,Konyaaltı,Hurma,0-32519122
426,Muratpaşa,Sedir,91685-56
427,Muratpaşa,Gençlik,53984-4700
428,Muratpaşa,Muratpaşa,102121-178
429,Kepez,Teomanpaşa,691972-1764
430,Muratpaşa,Dutlubahçe,89009-1302
431,Kepez,Atatürk,8200-3760
432,Kepez,Çankaya,102696-36
433,Konyaaltı,Altınkum,31445-700
434,Muratpaşa,Çağlayan,33100-6738
435,Kepez,Fabrikalar,76239-1069
436,Konyaaltı,Liman,18453-59
437,Konyaaltı,Hurma,51188-1172
438,Konyaaltı,Liman,109333-24
439,Muratpaşa,Güzeloba,52431-1209
440,Muratpaşa,Yeşilbahçe,53984-5280
441,Muratpaşa,Zerdalilik,89009-1305
442,Konyaaltı,Hurma,18453-82
443,Kepez,Ünsal,83498-69
444,Kepez,Özgürlük,102696-52
445,Alanya,Cumhuriyet,106692-3
446,Kepez,Kültür,88509-520
447,Konyaaltı,Pınarbaşı,107448-69
448,Kepez,Yeni Doğan,99691-727
449,Konyaaltı,Arapsuyu,71742-1610
450,Konyaaltı,Liman,82499-38
451,Konyaaltı,Öğretmenevleri,45502-1333
452,Muratpaşa,Güzeloba,17969-8366
453,Muratpaşa,Kızılarık,102121-167
454,Konyaaltı,Uncalı,73055-603
455,Kepez,Kütükçü,72631-483
456,Muratpaşa,Meydankavağı,53984-5288
457,Kepez,Çamlıbel,60116-581
458,Konyaaltı,Uncalı,107448-100
459,Muratpaşa,Güzeloba,17969-8365
460,Konyaaltı,Gürsu,21426-1245
461,Konyaaltı,Hurma,109333-31
462,Muratpaşa,Bayındır,25378-719
463,Alanya,Kestel,93676-782
464,Muratpaşa,Güzeloba,24126-2741
465,Muratpaşa,Güvenlik,22352-211
466,Döşemealtı,Altınkale,94984-355
467,Muratpaşa,Yenigün,77527-1986
468,Konyaaltı,Öğretmenevleri,4799-11338
469,Kepez,Yeni Doğan,96681-448
470,Muratpaşa,Şirinyalı,1068-3477
471,Konyaaltı,Uluç,45502-1274
472,Konyaaltı,Altınkum,45502-1486
473,Konyaaltı,Pınarbaşı,107448-43
474,Kepez,Hüsnü Karakaş,92837-751
475,Muratpaşa,Bayındır,25378-718
476,Muratpaşa,Zümrütova,10978-6876
477,Muratpaşa,Altındağ,8560-826
478,Konyaaltı,Uluç,73055-647
479,Konyaaltı,Kuşkavağı,45502-1263
480,Konyaaltı,Gürsu,45502-1255
481,Kepez,Çankaya,90534-532
482,Finike,Yeni,109306-7
483,Muratpaşa,Yeşildere,53984-4743
484,Konyaaltı,Öğretmenevleri,45502-1352
485,Konyaaltı,Arapsuyu,88351-148
486,Konyaaltı,Uncalı,107448-105
487,Muratpaşa,Yeşilbahçe,7933-678
488,Konyaaltı,Uncalı,107448-78
489,Muratpaşa,Deniz,1837-2142
490,Muratpaşa,Kızıltoprak,89121-128
491,Konyaaltı,Liman,18453-64
492,Muratpaşa,Cumhuriyet,77527-3043
493,Manavgat,Side,26787-289
494,Konyaaltı,Liman,95676-258
